VERTEX = 108
0.0 0.0 0.0
20.0 0.0 0.0
23.0 15.0 0.0
25.0 35.0 0.0
23.0 55.0 0.0
20.0 70.0 0.0
18.0 70.0 0.0
18.0 68.0 0.0
0.0 68.0 0.0
0.0 0.0 0.0
17.3 0.0 -10.0
19.9 15.0 -11.5
21.7 35.0 -12.5
19.9 55.0 -11.5
17.3 70.0 -10.0
15.6 70.0 -9.0
15.6 68.0 -9.0
0.0 68.0 0.0
0.0 0.0 0.0
10.0 0.0 -17.3
11.5 15.0 -19.9
12.5 35.0 -21.7
11.5 55.0 -19.9
10.0 70.0 -17.3
9.0 70.0 -15.6
9.0 68.0 -15.6
0.0 68.0 0.0
0.0 0.0 -0.0
-0.0 0.0 -20.0
-0.0 15.0 -23.0
-0.0 35.0 -25.0
-0.0 55.0 -23.0
-0.0 70.0 -20.0
-0.0 70.0 -18.0
-0.0 68.0 -18.0
0.0 68.0 -0.0
0.0 0.0 -0.0
-10.0 0.0 -17.3
-11.5 15.0 -19.9
-12.5 35.0 -21.7
-11.5 55.0 -19.9
-10.0 70.0 -17.3
-9.0 70.0 -15.6
-9.0 68.0 -15.6
0.0 68.0 -0.0
0.0 0.0 -0.0
-17.3 0.0 -10.0
-19.9 15.0 -11.5
-21.7 35.0 -12.5
-19.9 55.0 -11.5
-17.3 70.0 -10.0
-15.6 70.0 -9.0
-15.6 68.0 -9.0
0.0 68.0 -0.0
-0.0 0.0 0.0
-20.0 0.0 0.0
-23.0 15.0 0.0
-25.0 35.0 0.0
-23.0 55.0 0.0
-20.0 70.0 0.0
-18.0 70.0 0.0
-18.0 68.0 0.0
-0.0 68.0 0.0
-0.0 0.0 0.0
-17.3 0.0 10.0
-19.9 15.0 11.5
-21.7 35.0 12.5
-19.9 55.0 11.5
-17.3 70.0 10.0
-15.6 70.0 9.0
-15.6 68.0 9.0
-0.0 68.0 0.0
-0.0 0.0 0.0
-10.0 0.0 17.3
-11.5 15.0 19.9
-12.5 35.0 21.7
-11.5 55.0 19.9
-10.0 70.0 17.3
-9.0 70.0 15.6
-9.0 68.0 15.6
-0.0 68.0 0.0
0.0 0.0 0.0
0.0 0.0 20.0
0.0 15.0 23.0
0.0 35.0 25.0
0.0 55.0 23.0
0.0 70.0 20.0
0.0 70.0 18.0
0.0 68.0 18.0
0.0 68.0 0.0
0.0 0.0 0.0
10.0 0.0 17.3
11.5 15.0 19.9
12.5 35.0 21.7
11.5 55.0 19.9
10.0 70.0 17.3
9.0 70.0 15.6
9.0 68.0 15.6
0.0 68.0 0.0
0.0 0.0 0.0
17.3 0.0 10.0
19.9 15.0 11.5
21.7 35.0 12.5
19.9 55.0 11.5
17.3 70.0 10.0
15.6 70.0 9.0
15.6 68.0 9.0
0.0 68.0 0.0
FACE = 192
0 9 1
1 9 10
1 10 2
2 10 11
2 11 3
3 11 12
3 12 4
4 12 13
4 13 5
5 13 14
5 14 6
6 14 15
6 15 7
7 15 16
7 16 8
8 16 17
9 18 10
10 18 19
10 19 11
11 19 20
11 20 12
12 20 21
12 21 13
13 21 22
13 22 14
14 22 23
14 23 15
15 23 24
15 24 16
16 24 25
16 25 17
17 25 26
18 27 19
19 27 28
19 28 20
20 28 29
20 29 21
21 29 30
21 30 22
22 30 31
22 31 23
23 31 32
23 32 24
24 32 33
24 33 25
25 33 34
25 34 26
26 34 35
27 36 28
28 36 37
28 37 29
29 37 38
29 38 30
30 38 39
30 39 31
31 39 40
31 40 32
32 40 41
32 41 33
33 41 42
33 42 34
34 42 43
34 43 35
35 43 44
36 45 37
37 45 46
37 46 38
38 46 47
38 47 39
39 47 48
39 48 40
40 48 49
40 49 41
41 49 50
41 50 42
42 50 51
42 51 43
43 51 52
43 52 44
44 52 53
45 54 46
46 54 55
46 55 47
47 55 56
47 56 48
48 56 57
48 57 49
49 57 58
49 58 50
50 58 59
50 59 51
51 59 60
51 60 52
52 60 61
52 61 53
53 61 62
54 63 55
55 63 64
55 64 56
56 64 65
56 65 57
57 65 66
57 66 58
58 66 67
58 67 59
59 67 68
59 68 60
60 68 69
60 69 61
61 69 70
61 70 62
62 70 71
63 72 64
64 72 73
64 73 65
65 73 74
65 74 66
66 74 75
66 75 67
67 75 76
67 76 68
68 76 77
68 77 69
69 77 78
69 78 70
70 78 79
70 79 71
71 79 80
72 81 73
73 81 82
73 82 74
74 82 83
74 83 75
75 83 84
75 84 76
76 84 85
76 85 77
77 85 86
77 86 78
78 86 87
78 87 79
79 87 88
79 88 80
80 88 89
81 90 82
82 90 91
82 91 83
83 91 92
83 92 84
84 92 93
84 93 85
85 93 94
85 94 86
86 94 95
86 95 87
87 95 96
87 96 88
88 96 97
88 97 89
89 97 98
90 99 91
91 99 100
91 100 92
92 100 101
92 101 93
93 101 102
93 102 94
94 102 103
94 103 95
95 103 104
95 104 96
96 104 105
96 105 97
97 105 106
97 106 98
98 106 107
99 0 100
100 0 1
100 1 101
101 1 2
101 2 102
102 2 3
102 3 103
103 3 4
103 4 104
104 4 5
104 5 105
105 5 6
105 6 106
106 6 7
106 7 107
107 7 8
