VERTEX = 336
0.0 0.0 0.0
20.0 0.0 0.0
20.0 20.0 0.0
22.0 21.0 0.0
22.0 23.0 0.0
20.0 24.0 0.0
20.0 40.0 0.0
22.0 41.0 0.0
22.0 43.0 0.0
20.0 44.0 0.0
20.0 65.0 0.0
18.0 65.0 0.0
18.0 63.0 0.0
0.0 63.0 0.0
0.0 0.0 0.0
19.3 0.0 -5.2
19.3 20.0 -5.2
21.3 21.0 -5.7
21.3 23.0 -5.7
19.3 24.0 -5.2
19.3 40.0 -5.2
21.3 41.0 -5.7
21.3 43.0 -5.7
19.3 44.0 -5.2
19.3 65.0 -5.2
17.4 65.0 -4.7
17.4 63.0 -4.7
0.0 63.0 0.0
0.0 0.0 0.0
17.3 0.0 -10.0
17.3 20.0 -10.0
19.1 21.0 -11.0
19.1 23.0 -11.0
17.3 24.0 -10.0
17.3 40.0 -10.0
19.1 41.0 -11.0
19.1 43.0 -11.0
17.3 44.0 -10.0
17.3 65.0 -10.0
15.6 65.0 -9.0
15.6 63.0 -9.0
0.0 63.0 0.0
0.0 0.0 0.0
14.1 0.0 -14.1
14.1 20.0 -14.1
15.6 21.0 -15.6
15.6 23.0 -15.6
14.1 24.0 -14.1
14.1 40.0 -14.1
15.6 41.0 -15.6
15.6 43.0 -15.6
14.1 44.0 -14.1
14.1 65.0 -14.1
12.7 65.0 -12.7
12.7 63.0 -12.7
0.0 63.0 0.0
0.0 0.0 0.0
10.0 0.0 -17.3
10.0 20.0 -17.3
11.0 21.0 -19.1
11.0 23.0 -19.1
10.0 24.0 -17.3
10.0 40.0 -17.3
11.0 41.0 -19.1
11.0 43.0 -19.1
10.0 44.0 -17.3
10.0 65.0 -17.3
9.0 65.0 -15.6
9.0 63.0 -15.6
0.0 63.0 0.0
0.0 0.0 0.0
5.2 0.0 -19.3
5.2 20.0 -19.3
5.7 21.0 -21.3
5.7 23.0 -21.3
5.2 24.0 -19.3
5.2 40.0 -19.3
5.7 41.0 -21.3
5.7 43.0 -21.3
5.2 44.0 -19.3
5.2 65.0 -19.3
4.7 65.0 -17.4
4.7 63.0 -17.4
0.0 63.0 0.0
0.0 0.0 -0.0
-0.0 0.0 -20.0
-0.0 20.0 -20.0
-0.0 21.0 -22.0
-0.0 23.0 -22.0
-0.0 24.0 -20.0
-0.0 40.0 -20.0
-0.0 41.0 -22.0
-0.0 43.0 -22.0
-0.0 44.0 -20.0
-0.0 65.0 -20.0
-0.0 65.0 -18.0
-0.0 63.0 -18.0
0.0 63.0 -0.0
0.0 0.0 -0.0
-5.2 0.0 -19.3
-5.2 20.0 -19.3
-5.7 21.0 -21.3
-5.7 23.0 -21.3
-5.2 24.0 -19.3
-5.2 40.0 -19.3
-5.7 41.0 -21.3
-5.7 43.0 -21.3
-5.2 44.0 -19.3
-5.2 65.0 -19.3
-4.7 65.0 -17.4
-4.7 63.0 -17.4
0.0 63.0 -0.0
0.0 0.0 -0.0
-10.0 0.0 -17.3
-10.0 20.0 -17.3
-11.0 21.0 -19.1
-11.0 23.0 -19.1
-10.0 24.0 -17.3
-10.0 40.0 -17.3
-11.0 41.0 -19.1
-11.0 43.0 -19.1
-10.0 44.0 -17.3
-10.0 65.0 -17.3
-9.0 65.0 -15.6
-9.0 63.0 -15.6
0.0 63.0 -0.0
0.0 0.0 -0.0
-14.1 0.0 -14.1
-14.1 20.0 -14.1
-15.6 21.0 -15.6
-15.6 23.0 -15.6
-14.1 24.0 -14.1
-14.1 40.0 -14.1
-15.6 41.0 -15.6
-15.6 43.0 -15.6
-14.1 44.0 -14.1
-14.1 65.0 -14.1
-12.7 65.0 -12.7
-12.7 63.0 -12.7
0.0 63.0 -0.0
0.0 0.0 -0.0
-17.3 0.0 -10.0
-17.3 20.0 -10.0
-19.1 21.0 -11.0
-19.1 23.0 -11.0
-17.3 24.0 -10.0
-17.3 40.0 -10.0
-19.1 41.0 -11.0
-19.1 43.0 -11.0
-17.3 44.0 -10.0
-17.3 65.0 -10.0
-15.6 65.0 -9.0
-15.6 63.0 -9.0
0.0 63.0 -0.0
0.0 0.0 -0.0
-19.3 0.0 -5.2
-19.3 20.0 -5.2
-21.3 21.0 -5.7
-21.3 23.0 -5.7
-19.3 24.0 -5.2
-19.3 40.0 -5.2
-21.3 41.0 -5.7
-21.3 43.0 -5.7
-19.3 44.0 -5.2
-19.3 65.0 -5.2
-17.4 65.0 -4.7
-17.4 63.0 -4.7
0.0 63.0 -0.0
-0.0 0.0 0.0
-20.0 0.0 0.0
-20.0 20.0 0.0
-22.0 21.0 0.0
-22.0 23.0 0.0
-20.0 24.0 0.0
-20.0 40.0 0.0
-22.0 41.0 0.0
-22.0 43.0 0.0
-20.0 44.0 0.0
-20.0 65.0 0.0
-18.0 65.0 0.0
-18.0 63.0 0.0
-0.0 63.0 0.0
-0.0 0.0 0.0
-19.3 0.0 5.2
-19.3 20.0 5.2
-21.3 21.0 5.7
-21.3 23.0 5.7
-19.3 24.0 5.2
-19.3 40.0 5.2
-21.3 41.0 5.7
-21.3 43.0 5.7
-19.3 44.0 5.2
-19.3 65.0 5.2
-17.4 65.0 4.7
-17.4 63.0 4.7
-0.0 63.0 0.0
-0.0 0.0 0.0
-17.3 0.0 10.0
-17.3 20.0 10.0
-19.1 21.0 11.0
-19.1 23.0 11.0
-17.3 24.0 10.0
-17.3 40.0 10.0
-19.1 41.0 11.0
-19.1 43.0 11.0
-17.3 44.0 10.0
-17.3 65.0 10.0
-15.6 65.0 9.0
-15.6 63.0 9.0
-0.0 63.0 0.0
-0.0 0.0 0.0
-14.1 0.0 14.1
-14.1 20.0 14.1
-15.6 21.0 15.6
-15.6 23.0 15.6
-14.1 24.0 14.1
-14.1 40.0 14.1
-15.6 41.0 15.6
-15.6 43.0 15.6
-14.1 44.0 14.1
-14.1 65.0 14.1
-12.7 65.0 12.7
-12.7 63.0 12.7
-0.0 63.0 0.0
-0.0 0.0 0.0
-10.0 0.0 17.3
-10.0 20.0 17.3
-11.0 21.0 19.1
-11.0 23.0 19.1
-10.0 24.0 17.3
-10.0 40.0 17.3
-11.0 41.0 19.1
-11.0 43.0 19.1
-10.0 44.0 17.3
-10.0 65.0 17.3
-9.0 65.0 15.6
-9.0 63.0 15.6
-0.0 63.0 0.0
-0.0 0.0 0.0
-5.2 0.0 19.3
-5.2 20.0 19.3
-5.7 21.0 21.3
-5.7 23.0 21.3
-5.2 24.0 19.3
-5.2 40.0 19.3
-5.7 41.0 21.3
-5.7 43.0 21.3
-5.2 44.0 19.3
-5.2 65.0 19.3
-4.7 65.0 17.4
-4.7 63.0 17.4
-0.0 63.0 0.0
0.0 0.0 0.0
